"Number";"Version";"ID";"Created_On";"Description";"Name";"Level";"LOD";"File";"Creator";"Project";"Revision";"Domain";"Status";"Zone"
"PMC-00054";"001";"PMC-00054-01-001";"24/06/2015";"";"TRU_TPM_BU_ALL_MEP_400_01";"ALL";"400";"TRU_TPM_BU_ALL_MEP_400_01.ifc";"think project";"Trumpf";"01";"MEP";"in progress";"BU-Building"
"PMC-00055";"001";"PMC-00055-01-001";"24/06/2015";"";"TRU_TPM_BU_ALL_ELE_400_01";"ALL";"400";"TRU_TPM_BU_ALL_ELE_400_01.ifc";"think project";"Trumpf";"01";"Electrical";"in progress";"BU-Building"
"PMC-00052";"001";"PMC-00052-01-001";"24/06/2015";"";"CLI_TPM_BU_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"in progress";"BU-Building"
"PMC-00051";"001";"PMC-00051-01-001";"18/06/2015";"";"CLI_TPM_WW_ALL_ARC_100_01";"ALL";"100";"CLI_TPM_WW_ALL_ARC_100_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00050";"001";"PMC-00050-01-001";"16/06/2015";"";"CLI_TPM_WW_ALL_ARC_500_01";"ALL";"500";"CLI_TPM_WW_ALL_ARC_500_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00049";"001";"PMC-00049-05-001";"16/06/2015";"";"CLI_TPM_BU_ALL_ARC_100_05";"ALL";"100";"CLI_TPM_BU_ALL_ARC_100_05.ifc";"think project";"Klinik";"05";"Architecture";"shared";"BU-Building"
"PMC-00047";"001";"PMC-00047-05-001";"05/05/2015";"Architecture Consolidated";"CLI_TPM_BU_ALL_ARC_400_05";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_05.ifc";"think project";"Klinik";"05";"Architecture";"published";"BU-Building"
"PMC-00046";"001";"PMC-00046-01-001";"30/04/2015";"";"CRT_TPM_BU_001_ARC_400_01";"001";"400";"CRT_TPM_BU_001_ARC_400_01.ifc";"think project";"Zertifizierung";"01";"Architecture";"published";"BU-Building"
"PMC-00006";"003";"PMC-00006-01-003";"17/04/2015";"Architecture model for west wing section";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"in progress";"WW-West  Wing"
"PMC-00003";"002";"PMC-00003-01-002";"17/04/2015";"MEP model for east section";"CLI_TPM_WE_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_WE_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"in progress";"WE-West"
"PMC-00006";"002";"PMC-00006-01-002";"17/04/2015";"Architecture model for west wing section";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"in progress";"WW-West  Wing"
"PMC-00007";"008";"PMC-00007-01-008";"16/04/2015";"Space model for clinic project";"CLI_TPM_BU_ALL_ARC_200_01";"ALL";"200";"CLI_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"BU-Building"
"PMC-00013";"001";"PMC-00013-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EA_001_IRF_400_01";"001";"400";"CRT_BSM_EA_001_IRF_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcRoof";"shared";"EA-East"
"PMC-00014";"001";"PMC-00014-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EA_001_IST_200_01";"001";"200";"CRT_BSM_EA_001_IST_200_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcSite";"shared";"EA-East"
"PMC-00023";"001";"PMC-00023-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EW_003_IWL_400_01";"003";"400";"CRT_BSM_EW_003_IWL_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcWall";"shared";"EW-East Wing"
"PMC-00024";"001";"PMC-00024-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_WW_001_ICW_400_01";"001";"400";"CRT_BSM_WW_001_ICW_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcCurtainWall";"shared";"WW-West  Wing"
"PMC-00025";"001";"PMC-00025-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_WW_001_ISR_400_01";"001";"400";"CRT_BSM_WW_001_ISR_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcStair";"shared";"WW-West  Wing"
"PMC-00026";"001";"PMC-00026-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_WW_001_IST_200_01";"001";"200";"CRT_BSM_WW_001_IST_200_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcSite";"shared";"WW-West  Wing"
"PMC-00027";"001";"PMC-00027-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_WW_002_IDR_400_01";"002";"400";"CRT_BSM_WW_002_IDR_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcDoor";"shared";"WW-West  Wing"
"PMC-00028";"001";"PMC-00028-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_WW_002_IRF_400_01";"002";"400";"CRT_BSM_WW_002_IRF_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcRoof";"shared";"WW-West  Wing"
"PMC-00029";"001";"PMC-00029-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_AT_001_IBM_400_01";"001";"400";"CRT_BSM_AT_001_IBM_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcBeam";"shared";"AT-Atrium"
"PMC-00030";"001";"PMC-00030-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_AT_001_ICW_400_01";"001";"400";"CRT_BSM_AT_001_ICW_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcCurtainWall";"shared";"AT-Atrium"
"PMC-00031";"001";"PMC-00031-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_AT_001_IST_200_01";"001";"200";"CRT_BSM_AT_001_IST_200_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcSite";"shared";"AT-Atrium"
"PMC-00032";"001";"PMC-00032-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_BU_001_IBM_400_01";"001";"400";"CRT_BSM_BU_001_IBM_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcBeam";"shared";"BU-Building"
"PMC-00015";"001";"PMC-00015-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EA_002_IWL_400_01";"002";"400";"CRT_BSM_EA_002_IWL_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcWall";"shared";"EA-East"
"PMC-00033";"001";"PMC-00033-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_BU_001_ICL_400_01";"001";"400";"CRT_BSM_BU_001_ICL_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcColumn";"shared";"BU-Building"
"PMC-00034";"001";"PMC-00034-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_BU_001_ICW_400_01";"001";"400";"CRT_BSM_BU_001_ICW_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcCurtainWall";"shared";"BU-Building"
"PMC-00035";"001";"PMC-00035-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_BU_001_IDR_400_01";"001";"400";"CRT_BSM_BU_001_IDR_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcDoor";"shared";"BU-Building"
"PMC-00036";"001";"PMC-00036-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_BU_001_IRF_400_01";"001";"400";"CRT_BSM_BU_001_IRF_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcRoof";"shared";"BU-Building"
"PMC-00037";"001";"PMC-00037-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_BU_001_ISP_200_01";"001";"200";"CRT_BSM_BU_001_ISP_200_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcSpace";"shared";"BU-Building"
"PMC-00038";"001";"PMC-00038-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_BU_002_IBM_400_01";"002";"400";"CRT_BSM_BU_002_IBM_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcBeam";"shared";"BU-Building"
"PMC-00039";"001";"PMC-00039-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_BU_002_ICL_400_01";"002";"400";"CRT_BSM_BU_002_ICL_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcColumn";"shared";"BU-Building"
"PMC-00040";"001";"PMC-00040-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_BU_002_IDR_400_01";"002";"400";"CRT_BSM_BU_002_IDR_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcDoor";"shared";"BU-Building"
"PMC-00041";"001";"PMC-00041-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_BU_002_IRF_400_01";"002";"400";"CRT_BSM_BU_002_IRF_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcRoof";"shared";"BU-Building"
"PMC-00042";"001";"PMC-00042-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_BU_003_IBM_400_01";"003";"400";"CRT_BSM_BU_003_IBM_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcBeam";"shared";"BU-Building"
"PMC-00016";"001";"PMC-00016-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EA_003_IWL_400_01";"003";"400";"CRT_BSM_EA_003_IWL_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcWall";"shared";"EA-East"
"PMC-00043";"001";"PMC-00043-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EA_001_ICW_400_01";"001";"400";"CRT_BSM_EA_001_ICW_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcCurtainWall";"shared";"EA-East"
"PMC-00017";"001";"PMC-00017-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EW_001_ICL_400_01";"001";"400";"CRT_BSM_EW_001_ICL_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcColumn";"shared";"EW-East Wing"
"PMC-00018";"001";"PMC-00018-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EW_001_ICW_400_01";"001";"400";"CRT_BSM_EW_001_ICW_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcCurtainWall";"shared";"EW-East Wing"
"PMC-00019";"001";"PMC-00019-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EW_001_IDR_400_01";"001";"400";"CRT_BSM_EW_001_IDR_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcDoor";"shared";"EW-East Wing"
"PMC-00020";"001";"PMC-00020-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EW_001_ISR_400_01";"001";"400";"CRT_BSM_EW_001_ISR_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcStair";"shared";"EW-East Wing"
"PMC-00021";"001";"PMC-00021-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EW_001_IST_200_01";"001";"200";"CRT_BSM_EW_001_IST_200_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcSite";"shared";"EW-East Wing"
"PMC-00022";"001";"PMC-00022-01-001";"17/03/2015";"IFC Cerficiation Model";"CRT_BSM_EW_002_IWL_400_01";"002";"400";"CRT_BSM_EW_002_IWL_400_01.ifc";"buildingSMART";"Zertifizierung";"01";"IfcWall";"shared";"EW-East Wing"
"PMC-00012";"001";"PMC-00012-01-001";"13/03/2015";"Certification Model "WallStandardCase_01A_Vw"";"CLI_TPM_BU_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_BU_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"BU-Building"
"PMC-00010";"002";"PMC-00010-01-002";"29/01/2015";"Structural model clinic project";"CLI_TPM_BU_ALL_STR_400_01";"ALL";"400";"CLI_TPM_BU_ALL_STR_400_01.ifc";"think project";"Klinik";"01";"Structure";"shared";"BU-Building"
"PMC-00007";"004";"PMC-00007-01-004";"10/01/2015";"Space model for clinic project";"CLI_TPM_BU_ALL_ARC_200_01";"ALL";"200";"CLI_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"BU-Building"
"PMC-00010";"001";"PMC-00010-01-001";"12/09/2014";"Structural model clinic project";"CLI_TPM_BU_ALL_STR_400_01";"ALL";"400";"CLI_TPM_BU_ALL_STR_400_01.ifc";"think project";"Klinik";"01";"Structure";"shared";"BU-Building"
"PMC-00004";"003";"PMC-00004-01-003";"05/12/2014";"Architecture model for atrium section";"CLI_TPM_AT_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_AT_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"AT-Atrium"
"PMC-00004";"002";"PMC-00004-01-002";"28/11/2014";"Architecture model for atrium section";"CLI_TPM_AT_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_AT_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"AT-Atrium"
"PMC-00006";"001";"PMC-00006-01-001";"29/08/2014";"Architecture model for west wing section";"CLI_TPM_WW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_WW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"WW-West  Wing"
"PMC-00007";"001";"PMC-00007-01-001";"29/08/2014";"Space model for clinic project";"CLI_TPM_BU_ALL_ARC_200_01";"ALL";"200";"CLI_TPM_BU_ALL_ARC_200_01.ifc";"think project";"Klinik";"01";"Architecture";"published";"BU-Building"
"PMC-00005";"001";"PMC-00005-01-001";"29/08/2014";"Architecture model for east wing section";"CLI_TPM_EW_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_EW_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"EW-East Wing"
"PMC-00004";"001";"PMC-00004-01-001";"29/08/2014";"Architecture model for atrium section";"CLI_TPM_AT_ALL_ARC_400_01";"ALL";"400";"CLI_TPM_AT_ALL_ARC_400_01.ifc";"think project";"Klinik";"01";"Architecture";"shared";"AT-Atrium"
"PMC-00003";"001";"PMC-00003-01-001";"29/08/2014";"MEP model for east section";"CLI_TPM_WE_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_WE_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"shared";"WE-West"
"PMC-00002";"001";"PMC-00002-01-001";"29/08/2014";"MEP model for east section";"CLI_TPM_EA_ALL_MEP_400_01";"ALL";"400";"CLI_TPM_EA_ALL_MEP_400_01.ifc";"think project";"Klinik";"01";"MEP";"shared";"EA-East"
